Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
27	-34.306488	2.138385	-30.910904	-36.786266	1000.0	-3.8373196	2.4415452	-2.8713188	-48.573547	112000	1.2397766e-08	6.9277153	-0.0051301904	-6.2065454	0.78824073	0.017028838	0.21575	5.0	266.4081211090088
28	-38.96466	2.2433183	-35.723103	-41.225067	1000.0	-3.454688	0.48816183	-3.0003788	-18.607548	116000	-1.0490417e-08	0.6511541	-0.014145595	-0.3184767	0.7877001	0.015039207	0.134	78.0	276.32521772384644
29	-37.158966	4.1637907	-32.20589	-42.66804	1000.0	-3.846393	0.13312791	-3.5775359	-8.994122	120000	1.0490417e-08	0.7855327	-0.017531257	-0.08054429	0.7542983	0.007684178	0.151	79.0	286.20253252983093
30	-38.241398	2.2785492	-35.552605	-40.744293	1000.0	-3.6049795	0.20153134	-3.1874933	-7.975083	124000	4.529953e-09	0.40601742	-0.017259065	-0.005118102	0.74099207	0.009792221	0.117	79.0	295.9358949661255
31	-34.843906	1.6039774	-32.519405	-36.405903	1000.0	-3.5738215	0.15118895	-3.0420542	-7.509976	128000	-2.384186e-10	0.26472744	-0.016201949	-0.023756653	0.7155802	0.009402077	0.09925	79.0	305.3363320827484
32	-38.22577	6.582939	-30.51852	-47.648464	1000.0	-3.4583964	0.13239598	-3.0375433	-6.512029	132000	4.768372e-10	0.66682976	-0.016626915	-0.026296735	0.70465416	0.007819445	0.104	79.0	314.9615032672882
33	-32.798073	2.6199427	-28.46071	-35.202435	1000.0	-3.529218	0.15777864	-2.818507	-7.473878	136000	1.1205673e-08	0.44546175	-0.015025108	-0.063831925	0.7017686	0.009316794	0.1135	79.0	324.7994616031647
34	-33.49541	3.2217603	-31.226841	-39.058193	1000.0	-3.281517	0.5625505	-2.3938951	-32.90915	140000	1.5974045e-08	0.8402991	-0.003613913	-0.2621606	0.68950987	0.016606782	0.19325	5.0	332.3323223590851
35	-31.17294	3.1477985	-27.17433	-34.675663	1000.0	-3.3050773	0.23324996	-1.9011234	-13.277418	144000	-8.150935e-09	1.2167153	-0.014610054	-0.26324862	0.68903935	0.015409971	0.1345	22.0	340.2985234260559
36	-24.132593	3.0220838	-19.60134	-27.77218	1000.0	-2.923671	0.36894056	-1.2556694	-8.21987	148000	1.4901161e-08	0.6661567	-0.01443415	-0.21318227	0.68655294	0.0044033485	0.08375	79.0	349.9607093334198
37	-24.040514	1.3843954	-21.6821	-25.224691	1000.0	-2.568413	0.29079926	-1.1949003	-7.5227175	152000	1.07288365e-08	0.7139217	-0.0036947993	-0.084429085	0.67761993	0.015280045	0.21625	4.0	358.2047264575958
38	-23.86405	2.8703403	-19.4013	-27.042536	1000.0	-2.4237976	0.28148714	-0.6947795	-7.243783	156000	2.7418137e-09	0.80449086	-0.014233335	-0.19123197	0.67739195	0.0073611005	0.1025	79.0	368.04939365386963
39	-25.35778	3.7596834	-19.80726	-30.405827	1000.0	-2.5368671	0.33338833	0.045206726	-4.554687	160000	-6.7949295e-09	0.5939663	-0.013947508	-0.048125267	0.6658996	0.007169969	0.08625	79.0	378.7018234729767
40	-19.973707	0.9420505	-18.828371	-21.220469	1000.0	-2.5089245	0.41714197	0.18103623	-2.983714	164000	1.2159347e-08	0.9467318	-0.003097771	-0.5106349	0.6556851	0.016024612	0.202	3.0	386.7809431552887
41	-17.643633	1.8954592	-15.447743	-20.481867	1000.0	-2.0781257	0.98646647	7.286419	-11.69913	168000	4.1127204e-09	0.5884646	-0.0017062867	-0.14561993	0.65536976	0.0153183425	0.18775	3.0	395.09717535972595
42	-17.836847	2.5004845	-15.32791	-20.571407	1000.0	-1.9172463	0.6564662	3.533415	-2.556179	172000	-1.9073486e-08	0.4120913	-0.015089853	-0.039012164	0.65500224	0.009719841	0.0895	79.0	404.8661422729492
43	-10.466505	2.350668	-6.521242	-12.718384	1000.0	-1.8003794	0.85278285	6.603528	-2.4781344	176000	2.6226044e-09	1.0999367	-0.012845757	-0.4252683	0.6406442	0.00777521	0.09075	79.0	414.6315884590149
44	-8.628841	2.0875363	-6.5358996	-11.6555	1000.0	-1.1271577	0.97989744	5.669181	-1.9579731	180000	3.5762786e-09	0.48202664	-0.014516452	-0.05586648	0.6292812	0.009566113	0.0995	79.0	424.1459867954254
