Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
26	898.89307	569.2852	1667.7445	329.6194	1066.7352	384.65784	1715.2162	541.6544	858.2	799.3	103999	36.60639	22.935095	85.20502	-70.12111	36.606503	22.93557	85.797325	-56.996983	-38.558453	6.5764246	3039.794549703598
27	892.97675	152.1349	1110.5851	741.5954	1204.9319	723.4838	1841.9238	-390.93384	811.75	884.9	107999	38.03663	24.298899	85.005615	-42.06952	38.036026	24.299887	88.191574	-44.754948	-39.870678	6.9492297	3116.757865667343
28	1100.4852	440.77188	1638.3451	595.11426	1253.7997	500.45392	1814.4147	408.81207	881.0	911.3	111999	39.768364	25.407291	88.47234	-55.57731	39.768406	25.408676	89.54884	-62.184998	-41.43732	7.132285	3194.0729162693024
29	402.62778	574.38965	1356.125	-383.5541	1169.656	533.9426	1818.4479	405.86075	808.0	877.6	115999	41.516144	26.705883	91.720085	-40.072327	41.515717	26.70717	93.28984	-42.38789	-43.25402	7.4446955	3271.192939519882
30	1017.99005	338.76434	1522.4392	491.5136	823.92596	634.0626	1802.6958	30.654528	803.2	754.1	119999	42.847244	27.991405	93.592026	-39.97088	42.84717	27.992352	95.041725	-47.839912	-44.688663	7.862158	3346.743384361267
31	1252.4731	571.07245	1784.5642	359.4721	1512.5369	419.59586	1899.6746	772.9697	845.6	1000.0	123999	45.04601	29.058386	96.6534	-51.20848	45.04578	29.05989	96.14841	-47.0008	-46.73889	8.334381	3425.7872619628906
32	1139.1279	611.79865	1733.0758	39.485367	1341.1766	673.8728	1968.1553	83.48434	806.0	803.9	127999	47.05335	30.276026	97.979095	-45.765594	47.05368	30.275211	98.571175	-36.272465	-48.86442	8.794255	3501.909898996353
33	1459.3622	295.0743	1838.1852	1034.6932	1764.1998	258.14886	2013.2413	1233.7129	931.0	944.2	131999	48.764484	31.587387	100.21438	-50.72336	48.764736	31.5883	103.20535	-47.286243	-50.6076	8.995905	3580.0570566654205
34	862.75745	928.87415	1714.5085	-550.21857	1586.0432	449.92004	2040.4805	560.7672	959.0	929.7	135999	50.798683	32.724037	104.79058	-53.89603	50.79894	32.724964	104.192215	-44.199574	-52.729347	9.650438	3658.0885372161865
35	1253.3064	685.6034	1995.9545	255.42589	1750.4352	313.57132	1993.695	894.2805	736.1667	1000.0	139999	52.793236	34.075836	105.93998	-49.29875	52.79317	34.077118	107.59728	-53.279316	-54.68595	10.093316	3736.564019203186
36	1030.4087	1183.4532	1952.7366	-948.2774	1953.432	345.89932	2293.2947	1177.9799	1000.0	1000.0	143999	54.54497	35.543472	112.39325	-60.301544	54.544586	35.544563	107.79838	-58.847767	-56.59339	10.619964	3816.2851479053497
37	1432.6647	491.51025	1954.0697	774.6549	1503.8661	740.3101	2142.7126	15.968707	824.8	1000.0	147999	56.347725	37.219013	112.21429	-62.02502	56.348045	37.21988	111.552315	-60.767826	-58.49253	11.19877	3896.0950367450714
38	1600.2368	646.616	2014.0292	481.1009	1228.0575	620.95886	2065.8596	379.8798	805.25	917.1	151999	58.24154	38.659462	115.14471	-70.05117	58.241745	38.66007	117.07328	-70.33113	-60.47764	11.914559	3975.1850938796997
39	1073.947	898.99243	1978.043	64.39905	1977.6855	47.514626	2047.7354	1915.6456	1000.0	1000.0	155999	60.023483	39.918198	119.77999	-66.37341	60.024036	39.91759	118.46199	-69.12756	-62.22789	12.218578	4054.5383865833282
40	1606.4156	348.5782	2021.7462	1178.4728	1822.6039	612.19055	2204.4456	154.76535	999.25	866.2	159999	61.113655	41.59823	127.065796	-69.16423	61.11347	41.59966	120.74889	-75.23907	-63.417774	13.10237	4132.861266613007
41	1627.4384	483.37097	2193.2625	1043.0125	1976.4421	519.237	2237.489	425.40808	908.8	919.3	163999	62.52419	43.077454	126.95161	-70.492676	62.524296	43.07877	125.96226	-69.82807	-64.8284	13.515597	4211.656234741211
42	1787.1326	616.9683	2155.2676	559.1865	1699.777	950.58136	2269.1262	-986.2874	852.0	950.3	167999	64.31803	44.326965	129.53185	-71.67457	64.31836	44.32802	127.1617	-73.94513	-66.56677	13.988356	4290.813116312027
43	1695.1072	438.5718	2185.8047	1041.0388	1583.3105	485.04514	2284.5842	775.7001	815.5	802.7	171999	66.55555	45.56415	129.02217	-68.05337	66.55611	45.56365	130.26378	-67.72234	-68.71275	14.3364105	4368.657475948334
44	1795.4945	630.2938	2268.2324	710.4922	1881.443	402.87088	2224.3286	779.8841	1000.0	978.2	175999	69.16896	46.080555	137.54443	-58.581966	69.16882	46.08163	133.64392	-64.740074	-71.47461	14.218434	4448.708856582642
45	1384.4031	544.0707	2062.598	790.86615	1802.0844	831.78625	2482.2554	155.53145	877.6	823.7	179999	71.14486	47.103325	136.22098	-80.237816	71.14465	47.104313	135.17743	-63.05328	-73.52919	14.476818	4526.620468616486
46	1894.9714	550.08356	2258.5596	799.3298	1545.8698	703.5085	2347.2874	405.81705	875.2	937.2	183999	72.98527	48.66406	139.78236	-71.257744	72.98513	48.663563	138.09695	-73.57559	-75.18887	14.505791	4606.095732212067
47	1200.1666	722.3182	2257.4805	308.80008	1228.8689	684.3081	2320.7314	313.54733	644.2	706.6	187999	74.8727	50.43934	139.59486	-70.2167	74.87303	50.439728	141.78523	-84.66222	-77.234566	15.371722	4682.5861258506775
48	1582.904	660.39624	2240.9707	450.93738	1992.9156	409.9499	2418.9807	1167.881	920.6	931.0	191999	75.94958	52.232754	143.10469	-82.98881	75.94925	52.233574	143.50851	-73.27133	-78.30739	16.376127	4762.109610795975
49	1619.8375	507.90833	2186.6042	717.29407	2383.8833	181.82697	2534.4907	1860.041	781.4	1000.0	195999	78.68642	52.79124	147.36136	-92.94805	78.68622	52.792946	145.31927	-92.32708	-81.021095	16.968414	4842.073165655136
50	1327.8301	822.29944	2348.7244	335.6112	1567.4751	928.1894	2524.0571	31.110668	708.4	859.1	199999	80.82169	53.16184	151.00385	-129.65012	80.822205	53.16193	147.29396	-72.600624	-83.090935	17.407217	4920.03990483284
51	2074.1	391.88635	2315.2295	1292.954	1339.4246	819.7279	2437.0464	32.842052	914.2	841.5	203999	82.906	54.202168	152.08044	-67.52367	82.905495	54.20238	151.81667	-77.51091	-85.10525	17.532146	4997.876333475113
52	1481.1274	838.057	2369.165	202.37752	2438.7644	80.94933	2573.2544	2320.3203	1000.0	1000.0	207999	84.34942	55.40286	151.67297	-87.95042	84.34868	55.40493	152.63496	-81.63218	-86.542	17.684738	5078.173128128052
53	1261.5244	1024.2074	2304.3323	13.12192	2276.4954	349.90048	2503.8384	1291.6183	1000.0	1000.0	211999	85.77265	56.568073	155.57352	-69.31255	85.77225	56.569485	154.7419	-68.706985	-88.09008	18.096586	5157.859263181686
54	1642.2119	797.67175	2401.613	393.65115	1945.2402	724.42944	2415.4287	286.54324	911.75	916.4	215999	86.78667	57.94276	156.15277	-72.68661	86.78559	57.94451	157.03209	-75.368095	-88.94952	18.371828	5237.09484910965
55	1875.9382	598.9489	2411.6484	915.7591	2139.7222	682.3534	2462.8462	104.322014	1000.0	906.6	219999	87.6707	59.501583	158.77234	-80.40458	87.66996	59.503567	160.53432	-78.962555	-90.016884	19.197565	5315.993800163269
56	2366.8499	91.971344	2473.773	2273.4685	2129.667	418.08002	2424.7944	1200.049	987.0	1000.0	223999	89.49169	60.695923	160.81514	-82.224	89.49152	60.695793	162.28554	-84.77918	-92.08269	19.115671	5395.956721067429
57	1824.6387	685.3834	2441.4485	877.975	2286.5137	455.64597	2606.1685	936.19104	892.4	1000.0	227999	91.61457	61.759113	163.67987	-88.59108	91.61499	61.759052	163.41849	-81.885376	-94.042076	19.840542	5475.695271253586
58	1671.6166	766.0949	2476.2412	690.2522	2455.2505	56.207127	2546.6553	2363.726	1000.0	1000.0	231999	92.59897	62.960175	166.38792	-91.426254	92.59955	62.959923	165.70058	-100.05418	-94.859344	21.486446	5555.827933549881
59	2145.3232	380.27042	2409.5781	1488.713	2453.257	577.5739	2755.537	736.8507	902.5	1000.0	235999	94.00054	63.584213	167.05775	-114.357475	94.00113	63.582703	168.29703	-108.86132	-96.27874	20.81993	5635.81209731102
60	1284.7114	1259.6263	2591.8992	-73.776	2013.1217	1011.4841	2766.1663	86.23826	1000.0	757.6	239999	95.13736	64.27268	169.73857	-104.03669	95.13845	64.27132	170.96735	-106.680275	-97.54948	21.271173	5712.826111316681
61	1388.6664	671.22437	2534.7866	623.00134	2272.9731	319.2765	2550.9338	1613.9805	707.4	963.7	243999	96.26402	65.23752	171.76584	-110.417915	96.26462	65.23712	174.23601	-108.29395	-98.596	22.748095	5792.34223484993
62	1399.3694	772.1179	2319.0598	425.1481	2147.1333	600.22424	2550.0308	916.8866	802.8	940.7	247999	97.06604	66.26937	175.02023	-107.63991	97.06658	66.2684	173.66078	-108.85479	-99.32458	22.511003	5871.776666402817
63	2082.4917	632.96375	2530.447	832.6142	1480.7526	1224.6086	2809.2295	-558.5507	867.4	883.0	251999	98.32887	67.38504	175.54533	-99.239815	98.32987	67.38444	175.54356	-97.98447	-100.61817	23.05527	5951.17893075943
64	2417.6182	187.6498	2611.7168	2117.1572	2365.0664	693.6834	2705.4783	293.16553	1000.0	1000.0	255999	100.1791	67.99047	178.11269	-99.46531	100.17952	67.989426	177.9526	-107.7243	-102.51565	23.057287	6031.0594136714935
65	2401.4941	82.0497	2521.3547	2300.6548	2304.1865	531.2915	2674.2812	920.7246	1000.0	935.1	259999	101.48604	68.692345	178.61516	-101.665184	101.48518	68.69391	181.63367	-110.91675	-103.96228	23.821049	6110.2711679935455
66	2516.873	65.34019	2580.581	2431.3782	2308.5283	513.3544	2629.9744	1148.0616	1000.0	955.7	263999	102.66731	69.58177	181.30774	-97.986374	102.66782	69.58148	182.47888	-110.321014	-105.071625	23.599747	6188.937647104263
67	1949.4153	842.6261	2671.4812	528.6159	2487.1343	533.61176	2777.1748	900.09235	850.0	936.7	267999	104.01113	70.12958	179.01685	-116.22767	104.01049	70.1309	181.81	-110.45148	-106.267876	23.080336	6267.305708408356
68	2487.111	118.104065	2630.18	2313.3015	2460.5305	742.8919	2922.3333	909.017	1000.0	934.2	271999	105.03786	70.93108	180.97594	-104.26394	105.03728	70.93228	182.86525	-105.02597	-107.47583	23.920067	6346.375403404236
69	1196.3191	367.0602	1675.6873	659.2035	2368.7651	512.33966	2674.843	947.0455	719.6	915.7	275999	106.48386	71.60265	183.3091	-111.94383	106.48492	71.60163	184.96487	-113.81404	-108.786194	24.343363	6425.1373336315155
70	2468.9985	164.26045	2678.6006	2270.2578	2314.1277	832.1663	2923.641	696.96	959.25	821.9	279999	107.75686	72.27586	185.0791	-113.5238	107.75651	72.27544	185.9885	-115.21063	-110.26142	25.783657	6503.044826507568
71	2166.3264	895.06976	2675.9368	380.66745	2101.439	862.2078	2843.0874	545.0588	833.2	990.0	283999	108.90678	72.837395	188.91208	-117.57309	108.90668	72.837326	186.30417	-127.80755	-111.30836	25.92813	6583.502888441086
72	2133.8755	836.89703	2678.059	687.5613	2530.841	833.0679	3038.9624	86.25383	1000.0	1000.0	287999	109.51926	73.748535	186.32314	-117.27924	109.51893	73.75004	190.49663	-121.483765	-112.011406	25.365887	6663.098403930664
73	2544.5476	113.351036	2677.7373	2368.3296	2102.3374	915.69324	2787.447	54.572227	1000.0	941.2	291999	110.58847	74.65499	188.33604	-128.18037	110.58645	74.65789	189.85905	-127.417694	-112.96875	26.153595	6741.299353837967
74	1875.0128	631.0616	2620.9426	771.5734	2788.5693	92.30506	2961.2634	2650.2583	739.1667	1000.0	295999	112.34154	75.13428	195.03339	-128.0256	112.33935	75.13749	189.53258	-132.26747	-114.693535	26.24149	6821.311272859573
75	1593.56	1049.4545	2753.2952	151.94963	2680.3337	51.88062	2764.7737	2581.8237	601.8333	1000.0	299999	114.33261	75.08336	193.20023	-111.139175	114.33253	75.0849	192.63948	-137.4202	-116.62776	27.209684	6900.573919057846
76	1739.634	1009.8595	2559.7437	88.994225	1495.5841	1077.6896	2781.265	-329.54248	808.8	872.5	303999	115.8741	75.21322	191.91898	-124.853035	115.87392	75.21301	194.7113	-142.11981	-118.23736	27.294914	6979.869871377945
77	2227.803	480.55835	2520.4463	1395.8029	2731.6697	65.69555	2818.7002	2582.9265	1000.0	1000.0	307999	117.3356	75.31922	194.2182	-154.40315	117.33626	75.31937	193.19418	-155.22351	-119.55555	26.572556	7059.721093177795
78	1345.5238	938.99866	2789.038	423.67267	2042.2454	990.54333	2840.3013	252.707	767.6667	926.4	311999	118.4421	75.51443	196.40019	-129.10782	118.44097	75.517265	195.98898	-126.95819	-120.91497	26.832775	7139.11802649498
79	2270.2603	532.8069	2768.0825	1397.3163	2342.855	854.98975	2914.585	276.5642	836.25	941.6	315999	119.49026	75.90503	197.04391	-114.796814	119.49102	75.904465	197.27151	-121.77944	-121.672714	27.146261	7218.4622457027435
80	2616.0803	342.5549	2808.3882	1932.2562	2077.05	1020.2344	2984.9485	81.14815	942.4	729.7	319999	121.09555	75.996895	197.94167	-128.94225	121.0954	75.99619	201.8549	-121.636345	-123.38131	27.243227	7294.919718027115
81	2724.0146	74.32659	2790.2427	2602.108	2972.3777	77.57056	3132.0	2865.6375	1000.0	1000.0	323999	122.62549	75.91475	200.46803	-119.87638	122.62544	75.91559	202.37779	-134.07788	-124.76616	27.579742	7374.632029056549
82	2599.2996	129.25653	2778.379	2415.8743	2580.5708	718.85034	2969.628	435.16956	1000.0	918.0	327999	124.26347	76.00798	199.58418	-119.82515	124.26278	76.0109	200.60075	-119.11439	-126.48938	28.225395	7453.549198150635
83	1322.9905	1060.3278	2627.9739	56.34801	2498.5955	412.82877	2786.62	1312.8176	651.8	977.2	331999	125.4924	76.826805	201.97177	-135.78677	125.49209	76.82836	202.46779	-123.448265	-127.75711	28.290472	7532.343906164169
84	1709.0662	1108.7141	2835.2373	216.73251	2281.809	901.29095	2793.1167	457.74722	645.7143	835.9	335999	126.3231	77.37499	203.15538	-127.53416	126.3232	77.37546	204.85475	-118.459076	-128.4188	28.128859	7610.778565168381
85	2407.756	568.322	2792.396	1425.262	2637.8062	660.76685	3046.0852	673.706	1000.0	926.0	339999	127.9511	77.25397	204.34377	-125.526924	127.95059	77.25474	206.0879	-129.1495	-130.13852	29.235825	7690.424206018448
86	2143.7104	1005.8245	2864.2349	192.89618	2844.7866	49.14474	2966.9026	2781.6309	775.2	999.5	343999	129.2961	77.18868	206.3074	-117.24835	129.29742	77.18672	207.25287	-136.92625	-131.81589	28.878263	7771.302792072296
87	2001.4622	1319.9045	2817.895	-283.39233	2224.1448	905.6325	2817.819	57.375336	1000.0	811.3	347999	130.46419	77.32537	206.6667	-110.231	130.46405	77.32742	206.90492	-126.89582	-132.68759	28.190706	7851.197624444962
88	2636.6013	400.73303	2985.2446	1964.8494	2736.215	67.33232	2849.4336	2635.5767	1000.0	1000.0	351999	131.40836	77.78174	207.08621	-123.418045	131.40855	77.78324	208.52982	-103.83938	-133.55997	28.225616	7933.239679813385
89	2238.626	820.47314	2812.1843	827.30255	2277.6814	1078.4652	2999.4375	156.95357	1000.0	777.2	355999	133.04599	77.36115	214.14618	-116.21754	133.0461	77.36001	208.63576	-112.26547	-135.19623	28.336294	8012.260547876358
90	2485.9688	529.8988	2806.2598	1568.3306	2247.7188	743.1123	2839.6301	546.32086	1000.0	921.1	359999	134.07729	77.20267	209.82643	-104.500786	134.07706	77.203224	209.52707	-98.36471	-136.42633	28.462786	8093.643935203552
91	2300.5884	720.8723	2988.7825	1021.5768	2553.3171	568.42804	3206.4558	1663.925	822.4	928.9	363999	135.76833	76.97672	211.56448	-106.8822	135.76804	76.97621	212.26398	-87.58398	-137.97943	29.167984	8174.603478908539
92	1889.8975	1127.1781	2872.92	313.85495	2533.9104	773.6362	3131.3784	937.9406	821.6	982.4	367999	136.83212	77.07566	213.79855	-120.36574	136.83154	77.077614	215.42224	-101.749146	-139.06406	29.989202	8256.842432260513
93	2022.8604	895.1772	2972.2664	839.84064	2580.7627	607.10675	3049.0396	1339.5759	828.5	951.7	371999	137.36502	77.61171	214.83716	-92.64708	137.36607	77.61044	213.73921	-104.65545	-139.5579	29.467926	8337.091678619385
94	2141.8037	861.69464	2869.4001	637.86395	2529.2166	570.6454	3026.426	1019.8513	846.8	938.9	375999	138.28223	78.02576	213.94965	-94.62652	138.28304	78.02505	215.06238	-90.05161	-140.56949	31.600492	8418.982515335083
95	1375.869	1011.2102	2675.2795	44.84282	2487.1355	785.5255	2934.9302	518.54987	584.8571	878.5	379999	139.3234	78.406006	215.61263	-125.100746	139.32153	78.41091	215.42911	-119.58356	-141.56987	29.894629	8499.422597408295
96	2001.277	980.26013	2793.2266	382.99597	3046.6519	75.53846	3178.4363	2934.0269	733.4	1000.0	383999	140.09479	78.856804	216.94775	-82.34019	140.09467	78.85626	218.41241	-72.642	-142.46902	31.674612	8581.748796224594
97	2736.682	88.37496	2836.2468	2625.813	2843.6628	603.82935	3141.3777	1044.7083	993.5	935.8	387999	141.23448	79.21969	217.13947	-95.74939	141.23338	79.221054	217.66147	-106.630486	-143.50635	30.86407	8663.70206284523
98	2041.1649	980.6739	3057.2925	282.123	2361.683	946.1473	2989.5874	217.88538	803.0	840.9	391999	141.90042	79.49129	217.96346	-97.06175	141.89784	79.496735	217.9167	-77.77373	-144.3081	31.891382	8743.256433486938
99	2436.425	917.3429	3061.2642	851.6834	3004.6929	55.697353	3083.087	2922.427	820.5	1000.0	395999	143.47939	79.4	219.7997	-105.60229	143.47864	79.40366	231.49437	-92.80422	-145.66682	33.601723	8824.836406707764
100	2440.8423	872.1244	3057.7463	939.08545	2154.3357	885.9384	3293.928	1160.957	1000.0	838.1	399999	144.43846	79.80418	224.0592	-136.63014	144.43681	79.80776	220.28262	-124.568016	-146.86359	33.426636	8904.405029773712
