Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
24	-73.961205	3.5878577	-67.88	-77.053215	-65.625656	0.7052281	-64.74507	-67.22091	1000.0	1000.0	95999	-9.711659	15.67068	3.359806	-138.08714	-9.711823	15.672518	3.5050693	-136.6621	9.350139	1.526943	1808.3687090873718
25	-78.070175	2.0615938	-75.680954	-80.634415	-74.9697	7.2382402	-70.34913	-91.512375	1000.0	1000.0	99999	-9.8056	14.927669	4.6644297	-129.1131	-9.80585	14.9284315	4.7970543	-128.71265	9.475055	1.5411568	1886.182534456253
26	-90.123695	4.131088	-85.67263	-96.52109	-72.183556	16.782263	-56.557365	-94.84479	1000.0	1000.0	103999	-9.627027	13.939737	5.660827	-127.722946	-9.627295	13.94128	5.618326	-129.73053	9.320181	1.3976103	1961.2271146774292
27	-79.207275	3.1905699	-73.70338	-81.46973	-71.67143	0.37736303	-71.26115	-72.410736	1000.0	1000.0	107999	-9.550158	13.290231	6.440718	-133.76425	-9.550459	13.291344	6.0431514	-132.93954	9.239355	1.367823	2035.4515264034271
28	-68.861046	7.0856547	-58.328117	-78.26637	-86.37724	36.669765	-58.062115	-193.42552	1000.0	996.8	111999	-9.40956	12.44154	6.936273	-125.065506	-9.409983	12.4424305	7.8767176	-129.1189	9.123663	1.2965568	2108.7695140838623
29	-68.86987	11.338492	-53.28203	-83.277664	-80.54582	0.17885894	-80.10997	-80.78813	1000.0	1000.0	115999	-9.365381	12.085257	6.398198	-124.758514	-9.365799	12.087887	6.9009132	-124.0292	9.076285	1.2247775	2180.423746109009
30	-81.07416	3.524991	-77.13061	-86.12119	-83.830925	3.2123876	-78.38801	-87.408646	1000.0	1000.0	119999	-9.376443	11.997619	6.4118094	-123.55405	-9.376407	11.999551	6.4251394	-124.163864	9.043174	1.0594621	2253.1753957271576
31	-74.69355	3.8603177	-69.737335	-80.211624	-75.85918	3.440002	-73.10786	-84.72501	1000.0	1000.0	123999	-9.341178	12.102343	6.4944363	-132.36836	-9.341312	12.104385	6.717131	-131.62633	9.016471	0.99022466	2323.7707917690277
32	-70.12423	4.6566815	-62.668076	-75.418816	-73.24715	2.4621255	-69.34796	-75.81431	1000.0	1000.0	127999	-9.182207	12.054493	6.6818604	-138.48668	-9.182017	12.058159	7.034643	-139.94048	8.880041	0.97146076	2399.1167159080505
33	-68.908264	2.631517	-66.12417	-71.55257	-82.01906	3.7615297	-76.17916	-85.12521	1000.0	1000.0	131999	-8.975178	11.6540365	5.804008	-125.48936	-8.97506	11.653872	5.8470674	-126.66928	8.711344	0.89766514	2473.8324563503265
