Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
28	341.374	77.31476	668.1231	198.90404	66.066666	127.5959	54.961235	196.44325	-60.98461	116000	-5.9604645e-08	685.281	-0.026677437	-619.16113	0.9158554	0.01725025	0.32675	3.0	248.37224292755127
29	348.5283	76.00687	548.10345	221.18092	67.08475	123.30182	53.0739	195.82281	-46.471558	120000	-1.3947487e-08	575.4778	-0.032308426	-521.37195	0.91580534	0.026449202	0.33975	3.0	257.25540924072266
30	358.9063	77.54849	569.6755	224.12419	68.82758	126.2142	53.56066	198.47223	-24.954828	124000	9.536743e-09	612.5916	-0.029397503	-558.7021	0.9157564	0.015151803	0.28675	3.0	266.1953251361847
31	354.79593	80.46043	628.7392	218.14473	68.086205	124.09709	55.600746	200.56229	-40.902954	128000	3.7670137e-08	679.3005	-0.030683981	-618.7638	0.9156946	0.024459923	0.33825	3.0	275.0997941493988
32	361.02005	101.21282	683.2316	206.03308	69.75439	128.10022	53.69269	201.04745	-64.61384	132000	3.2305717e-08	742.03674	-0.03001142	-664.89874	0.91554844	0.018593784	0.2995	3.0	284.11812829971313
33	355.47635	76.765396	532.92957	199.01074	68.67242	124.35337	56.751076	204.75223	-27.219744	136000	3.71933e-08	601.63715	-0.022283804	-558.213	0.9153306	0.017806029	0.24175	2.0	292.86941504478455
34	344.88998	64.45482	514.6353	218.04582	67.42373	124.10748	54.69423	205.20984	-47.853844	140000	-1.7642975e-08	588.7619	-0.018493632	-549.912	0.9151837	0.01739415	0.26475	2.0	301.9922330379486
35	368.02783	98.07251	716.9005	232.90427	71.16071	123.01637	53.834442	201.28178	-34.51016	144000	-2.4795533e-08	620.1091	-0.015669703	-563.8585	0.91506654	0.018960534	0.2805	2.0	310.93143486976624
36	361.30124	100.61042	843.2842	178.19559	69.40351	127.23323	55.442936	206.36328	-31.806507	148000	2.1219254e-08	606.23804	-0.018579312	-536.2406	0.9149964	0.015579021	0.259	2.0	319.65360593795776
37	364.20844	74.31596	694.3822	254.02972	70.070175	125.64822	55.281757	208.28519	-25.852648	152000	-3.4809112e-08	519.94336	-0.015178017	-486.0471	0.9149067	0.026946602	0.3275	2.0	328.4732131958008
38	364.056	82.1695	613.52185	162.20943	70.75	128.89168	54.18895	205.55083	-14.204283	156000	7.152557e-09	598.19476	-0.01982232	-543.2417	0.91483104	0.016661003	0.277	2.0	337.57969784736633
39	367.66763	81.588646	594.0747	237.45015	70.46429	127.033936	55.19568	209.01993	-5.042595	160000	2.1457673e-08	502.72778	-0.016831484	-465.03848	0.91475505	0.024417847	0.34525	2.0	346.4264078140259
40	372.39447	84.548874	640.8981	232.12773	72.32727	127.16219	55.064922	210.24643	-25.380848	164000	3.695488e-09	661.0994	-0.024875404	-608.3024	0.91469675	0.018503064	0.34825	3.0	356.88128566741943
41	390.88153	112.84493	957.1858	199.18344	75.61539	130.4332	55.58098	208.49248	-50.001175	168000	6.6757204e-09	740.8995	-0.02222118	-676.72034	0.91462886	0.017531654	0.234	2.0	366.2198143005371
42	379.86227	91.97507	723.5339	225.28877	73.40741	132.13573	57.021904	214.80997	-52.97641	172000	1.3351441e-08	614.11523	-0.024745703	-573.5634	0.91460675	0.0174328	0.33575	3.0	375.2630817890167
43	376.49777	83.10409	596.5118	218.38171	73.94444	128.97006	57.549953	213.41675	-29.683418	176000	1.5497207e-08	585.6045	-0.030078879	-548.4269	0.9145639	0.020611733	0.3415	3.0	384.3795974254608
44	377.08713	81.56422	642.3748	263.69366	73.296295	128.25383	56.32826	210.38013	-64.99224	180000	-1.1920929e-08	522.7321	-0.02132364	-485.34027	0.91446435	0.015524147	0.188	2.0	393.70817255973816
45	370.66846	76.18114	609.47986	251.41571	72.34545	128.14534	56.986305	217.41914	-44.13478	184000	-1.4305114e-08	524.11255	-0.017048819	-492.04572	0.91440946	0.019418316	0.24125	2.0	403.7657811641693
