Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
25	-2.2855346	0.11359941	-2.154656	-2.434803	200.0	-1.2461827	0.0015179211	-1.2413127	-1.248088	26000	-1.8298627e-08	0.0065823286	-0.0100161405	-0.0027689484	0.3400478	0.00016377372	0.0	79.0	18.788996934890747
26	-2.2519093	0.1709042	-1.9532434	-2.438516	200.0	-1.192186	0.0016914495	-1.1835972	-1.193772	27000	1.192093e-10	0.0072202752	-0.010585379	-0.00073531456	0.31491458	0.0026610848	0.01	79.0	19.542067289352417
27	-2.0353017	0.19419937	-1.729715	-2.307506	200.0	-1.1653223	0.0008440762	-1.1623341	-1.1664553	28000	2.0384789e-08	0.019003553	-0.010626956	-0.009259553	0.29010862	0.00021678292	0.015	79.0	20.297712564468384
28	-2.082668	0.11594364	-1.9812175	-2.2936938	200.0	-1.0682887	0.0009180704	-1.0631478	-1.0695921	29000	3.5464764e-09	0.0047549154	-0.010653788	-2.3799948e-06	0.26659292	0.002788815	0.016	79.0	21.05131721496582
29	-1.8458382	0.14058512	-1.6923548	-2.0988898	200.0	-1.0685827	0.0010569973	-1.0650609	-1.0702933	30000	1.9133092e-08	0.0104279285	-0.009972026	-0.0054749567	0.24394083	0.0014873396	0.004	79.0	21.806325674057007
30	-1.8248951	0.05394436	-1.7715822	-1.9210294	200.0	-0.99445164	0.0007313996	-0.99169016	-0.9957225	31000	2.4139881e-09	0.008161183	-0.011745631	-0.0051994794	0.21976587	0.0011736994	0.003	79.0	22.557023286819458
31	-1.8048899	0.06396758	-1.7259151	-1.8912566	200.0	-0.9218278	0.0015705482	-0.91586614	-0.9242089	32000	-1.449883e-08	0.003966998	-0.011096671	-1.9582454e-05	0.19200024	0.006091958	0.011	79.0	23.307724475860596
32	-1.6641716	0.22241277	-1.4112647	-1.9337249	200.0	-0.9173812	0.0016930619	-0.91112256	-0.91995263	33000	7.2717667e-09	0.010284388	-0.010349075	-0.0023453888	0.1671576	0.0030905858	0.008	79.0	24.074795484542847
33	-1.5694236	0.116384596	-1.444407	-1.7280545	200.0	-0.8693319	0.0016602445	-0.86316544	-0.871979	34000	4.696846e-08	0.007916982	-0.009216034	-0.0024816277	0.1428222	0.00022417378	0.003	79.0	24.832807540893555
34	-1.3668115	0.12316102	-1.1358044	-1.4916823	200.0	-0.8201102	0.0010598657	-0.8166912	-0.8221535	35000	2.1338463e-08	0.011755496	-0.008771661	-0.007698323	0.11915979	0.00024990254	0.012	79.0	25.600698232650757
35	-1.4884367	0.14607354	-1.2616414	-1.6787624	200.0	-0.73295873	0.0018801825	-0.7283315	-0.7361852	36000	-8.068978e-09	0.0057797884	-0.010364324	-7.946044e-05	0.10091967	0.00039115947	0.007	79.0	26.373446226119995
36	-1.4677731	0.16165692	-1.2645804	-1.7168772	200.0	-0.74146104	0.001841941	-0.7329334	-0.7437536	37000	-1.3053417e-08	0.005478103	-0.011992486	-2.0352192e-05	0.07600073	0.0039485763	0.015	79.0	27.07924175262451
37	-1.3494728	0.12361645	-1.1549424	-1.5030879	200.0	-0.74499685	0.00166705	-0.74111193	-0.7480011	38000	2.5868415e-08	0.005070426	-0.010163697	-0.002343788	0.050635226	0.0044234646	0.019	79.0	27.7893328666687
38	-1.1910946	0.081835076	-1.058674	-1.2677644	200.0	-0.6965868	0.004161294	-0.68270546	-0.7037191	39000	-2.2888184e-08	0.004395621	-0.009785295	-0.002551986	0.030720958	-0.00084461947	0.004	79.0	28.525295972824097
39	-1.1551459	0.12190562	-1.019268	-1.3418461	200.0	-0.6472822	0.0025230143	-0.6377664	-0.6520915	40000	6.657839e-08	0.005394207	-0.010623412	-0.0019406481	0.005705597	0.000994687	0.009	79.0	29.26456379890442
40	-1.1664808	0.097682156	-1.0845816	-1.3043679	200.0	-0.6040426	0.0022901376	-0.5989671	-0.60943055	41000	-4.23193e-09	0.0021075546	-0.011483621	-0.000101342564	-0.018403655	0.00095388317	0.006	79.0	30.01654577255249
41	-1.0347443	0.057461828	-0.93088394	-1.1045773	200.0	-0.59375316	0.002939811	-0.5870383	-0.5996736	42000	2.9802322e-08	0.0041155536	-0.010035288	-0.0015382406	-0.045415744	0.001691376	0.016	79.0	30.739254474639893
42	-1.046149	0.112759024	-0.8518716	-1.1855724	200.0	-0.5547929	0.003165693	-0.54311097	-0.5624889	43000	-5.1259996e-09	0.0032345594	-0.009835812	-0.00025967602	-0.06640122	0.00022475063	0.005	79.0	31.452008485794067
43	-1.0202935	0.14856249	-0.774895	-1.2181767	200.0	-0.538897	0.0028249386	-0.53254193	-0.54389435	44000	1.5530736e-08	0.0029257974	-0.01292594	-0.00026303134	-0.09050822	0.0053220424	0.028	79.0	32.16886115074158
44	-0.9147512	0.10640521	-0.74349624	-1.0612	200.0	-0.5228586	0.0024033198	-0.51712525	-0.52734584	45000	1.9490718e-08	0.0031487674	-0.009334196	-0.0011105197	-0.114219666	0.001526143	0.01	79.0	32.950730085372925
45	-0.84216803	0.06567803	-0.734167	-0.94008327	200.0	-0.48920268	0.002102371	-0.48333666	-0.4936264	46000	-3.093481e-08	0.0037579325	-0.011793659	-0.0024435837	-0.1353037	0.0012815516	0.017	79.0	33.73826003074646
46	-0.85110795	0.080633685	-0.78022385	-0.9969204	200.0	-0.43947577	0.0014724727	-0.43578795	-0.44208372	47000	-1.6465783e-08	0.0013485943	-0.01015655	-5.3787604e-05	-0.1589012	0.0011450201	0.005	79.0	34.47934532165527
47	-0.80227053	0.042885475	-0.72912985	-0.8483088	200.0	-0.4322293	0.0010565973	-0.42959324	-0.43442452	48000	-2.875924e-08	0.0016610812	-0.009643547	-0.00045060785	-0.1849929	-0.00030672766	0.003	79.0	35.21116304397583
48	-0.74715936	0.0930007	-0.6012344	-0.8666376	200.0	-0.4103683	0.001855943	-0.40564203	-0.41366345	49000	3.8981437e-08	0.0022687512	-0.008310166	-0.00061525835	-0.20950736	0.00091704197	0.005	79.0	35.97497034072876
49	-0.71596634	0.03793882	-0.6671636	-0.77435565	200.0	-0.38548028	0.0012292782	-0.38234192	-0.38770345	50000	-9.790063e-09	0.0007772427	-0.009849523	-0.00023987377	-0.23098487	-0.00010703874	0.006	79.0	36.860703468322754
