Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
26	43.498253	2.3175051	46.432125	40.10372	40.857197	5.9081078	47.14009	33.828526	1000.0	1000.0	103999	43.750107	12.05972	75.3981	19.477879	43.750134	12.059964	75.519135	19.392614	-43.916626	0.07833375	1707.8020858764648
27	40.82729	5.6010456	47.17318	33.740837	36.16166	4.394976	49.12956	33.20772	1000.0	1000.0	107999	41.970036	12.008375	74.12078	18.264547	41.97002	12.008367	74.097984	18.30405	-42.109463	0.07513933	1749.5104978084564
28	45.144302	4.787046	52.632385	39.387867	41.106537	1.0607833	42.232704	38.417557	1000.0	1000.0	111999	40.25382	11.94386	73.14171	15.032498	40.253784	11.943925	73.13311	14.732324	-40.381805	0.07641713	1793.714029788971
29	43.0701	1.1085409	44.23466	41.506744	41.18357	0.92105323	42.24112	39.0256	1000.0	1000.0	115999	38.59699	11.943675	71.43909	12.447885	38.597023	11.943801	71.28859	12.797458	-38.74461	0.071193896	1834.2284805774689
30	45.68049	5.2161436	53.181763	40.548172	43.39048	1.4101574	45.688435	40.9198	1000.0	1000.0	119999	36.968132	12.046461	69.993095	11.629088	36.968143	12.046523	69.87736	11.652403	-37.11366	0.06511208	1879.4383738040924
31	54.319542	4.873146	60.13308	46.659786	51.925232	6.3737335	60.991432	38.13402	1000.0	1000.0	123999	35.41907	12.120668	69.40995	10.026733	35.419033	12.120623	69.526115	9.98175	-35.536133	0.07005279	1918.315271615982
32	43.01027	7.1075907	51.608955	31.83933	50.56888	3.646313	53.88408	42.97761	1000.0	1000.0	127999	33.905533	12.016895	69.02802	6.939115	33.905556	12.01688	69.06849	6.7814646	-34.015564	0.0670294	1959.342357158661
33	52.863068	0.73295265	53.74563	51.95408	51.499947	3.9311953	55.411747	43.811153	1000.0	1000.0	131999	32.44207	11.976932	67.50439	-1.9249785	32.44209	11.976584	67.62683	-1.3792461	-32.60317	0.060436103	2003.8565783500671
34	48.62716	3.9231815	55.152847	45.1332	42.02342	3.7249584	47.69876	37.1797	1000.0	1000.0	135999	31.165918	11.924906	66.69962	-2.0085053	31.165947	11.92471	66.87077	-2.35422	-31.271915	0.055795692	2046.5516855716705
35	48.551777	4.594962	54.71289	43.119717	47.193226	1.3479642	48.705963	44.800613	1000.0	1000.0	139999	30.040972	11.855742	65.25357	-1.0090635	30.040932	11.855539	65.32314	-0.804423	-30.165035	0.05200276	2087.5407564640045
36	45.84673	2.3473384	49.4505	43.58976	38.000504	3.883734	43.243866	33.034378	1000.0	1000.0	143999	28.940382	11.805313	63.874214	6.255743	28.94045	11.805085	63.85473	6.5771456	-29.02948	0.05077192	2127.209396839142
37	44.11336	2.587439	47.88826	41.07849	48.27469	4.3448863	53.044308	43.06559	1000.0	1000.0	147999	27.83496	11.772862	63.192047	7.8915863	27.834965	11.772814	63.10078	7.665139	-27.951298	0.051650297	2174.991374015808
38	47.489197	4.230742	53.248455	42.16382	47.564575	3.5259318	53.035923	44.00276	1000.0	1000.0	151999	26.688684	11.743464	62.62095	5.962376	26.688713	11.743466	62.573128	6.2435346	-26.768976	0.04952168	2219.4922227859497
39	47.29382	3.7469015	51.352646	42.918896	45.549007	2.700793	50.96674	43.200455	1000.0	1000.0	155999	25.608807	11.59771	61.320343	6.624215	25.608788	11.597562	61.424355	7.0413046	-25.70633	0.047798272	2262.7018690109253
40	43.277023	0.8931612	44.53863	42.228043	44.57502	2.0191054	49.96682	42.538464	1000.0	1000.0	159999	24.599615	11.424753	59.41698	6.9836783	24.599623	11.424631	59.232014	6.1371655	-24.693207	0.046729278	2304.8746633529663
41	44.068115	1.4715304	45.603764	42.47215	41.35231	5.315585	45.975086	26.924513	1000.0	1000.0	163999	23.699446	11.253295	56.76444	5.8554983	23.69947	11.253204	56.841194	5.4242043	-23.839981	0.0439243	2349.5102462768555
42	39.52016	7.214093	51.404	31.92283	43.552208	3.360534	48.644592	39.26587	1000.0	1000.0	167999	22.96207	11.267674	55.799717	4.574273	22.962074	11.267646	55.812855	4.7481375	-23.058893	0.042655054	2394.40322637558
43	50.15213	4.651423	56.875988	43.73104	53.36689	2.6148036	56.566807	47.359867	1000.0	1000.0	171999	22.251343	11.25437	55.3397	3.0368736	22.251406	11.254443	55.37938	1.7931972	-22.360481	0.046673577	2438.6827940940857
44	49.917164	6.273309	56.74078	39.731403	47.30615	4.4902797	53.192844	39.289898	1000.0	1000.0	175999	21.52683	11.312755	54.45954	1.099213	21.526848	11.312746	54.429146	1.1927255	-21.683947	0.04936462	2479.3832728862762
45	45.282444	6.282765	52.80556	35.67847	53.05523	3.3056781	58.73667	44.636703	1000.0	1000.0	179999	20.895443	11.30758	53.689682	0.40603358	20.89545	11.307615	53.585587	-0.9485584	-21.048399	0.04890811	2521.1435329914093
46	52.209156	0.9754006	53.839798	51.255894	51.20265	2.928623	54.375828	43.909073	1000.0	1000.0	183999	20.328047	11.366953	53.258972	-0.30406415	20.32806	11.366839	53.30612	-1.0137575	-20.455723	0.049490158	2562.2535667419434
47	48.59275	4.2997823	51.891113	41.2522	50.035	2.9945738	52.29454	43.122158	1000.0	1000.0	187999	19.746126	11.357845	52.6017	-1.3176789	19.746193	11.357877	52.614147	-1.6597023	-19.852438	0.050600987	2601.0565025806427
48	48.38183	2.939902	52.171524	43.92106	49.74755	1.2437531	51.85285	48.18063	1000.0	1000.0	191999	19.120037	11.350239	52.13523	-2.199828	19.120058	11.350125	52.140762	-3.3134875	-19.228054	0.046989076	2645.013120651245
49	47.495228	4.3692384	52.63421	41.648266	48.299664	3.1493707	52.831852	43.061344	1000.0	1000.0	195999	18.461922	11.210029	52.146706	-2.5386434	18.461943	11.2099285	52.132694	-3.6887934	-18.579172	0.04500863	2695.9388494491577
50	48.41345	2.926089	51.891834	43.781567	50.855762	0.95751923	52.345135	49.54412	1000.0	1000.0	199999	17.88899	11.162135	52.11399	-3.4299088	17.888998	11.1621065	52.176674	-3.3891726	-17.987267	0.043642327	2737.0739426612854
51	47.406387	4.4586334	50.539455	39.739883	47.82749	4.0462155	53.870735	43.529087	1000.0	1000.0	203999	17.196114	11.0648365	51.956997	-4.070923	17.19613	11.064813	52.00599	-4.8733726	-17.294987	0.041687522	2776.9646441936493
52	51.116917	0.6934686	52.230408	50.364845	47.195305	3.8149657	50.649967	40.03434	1000.0	1000.0	207999	16.574797	11.035974	51.68212	-5.2669835	16.574806	11.03582	51.539223	-5.1770225	-16.686295	0.04078569	2818.2279076576233
53	48.3626	5.280116	53.443806	39.53489	51.430286	0.69982857	52.733368	50.76014	1000.0	1000.0	211999	15.9987135	11.023574	51.520252	-6.0855145	15.998685	11.0234375	51.42831	-6.168458	-16.131403	0.04090223	2860.4159169197083
54	52.36925	0.5400498	52.8232	51.480953	52.99828	1.7087398	57.77295	51.403774	1000.0	1000.0	215999	15.406412	10.99079	51.30734	-7.427571	15.406402	10.990644	51.136112	-7.4375362	-15.528464	0.038902257	2907.026174068451
55	51.959503	0.6427233	52.693565	50.94176	53.413464	0.6751938	54.718185	52.461174	1000.0	1000.0	219999	14.946605	11.079311	50.806564	-9.034513	14.946574	11.079192	50.828968	-9.179337	-15.008845	0.037925936	2957.114256620407
56	53.30092	0.9906896	54.28197	51.72393	52.93102	0.20135581	53.28075	52.609104	1000.0	1000.0	223999	14.455812	11.119139	50.677773	-10.93926	14.455853	11.119041	50.632057	-10.949767	-14.527523	0.038166746	3002.6819140911102
57	52.378822	0.98376983	53.876812	51.388977	52.33216	0.6031471	53.502346	51.568356	1000.0	1000.0	227999	13.9475	11.091065	49.453964	-12.658883	13.947517	11.090927	49.609142	-12.994404	-14.051592	0.03806909	3048.1400575637817
58	54.755093	1.9645641	57.99719	52.70035	53.12597	1.7865403	55.130283	48.94342	1000.0	1000.0	231999	13.522922	11.073916	48.902046	-13.379015	13.522943	11.073828	49.125534	-13.579463	-13.636677	0.037566002	3089.598688840866
59	53.18431	0.5364748	53.79363	52.32039	53.596416	1.7192245	56.66364	51.360947	1000.0	1000.0	235999	13.10425	10.981053	48.253937	-14.556002	13.104261	10.980939	48.391167	-14.694067	-13.203431	0.036068972	3136.37318110466
