Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
26	203.84279	10.893815	231.31447	179.32648	203.14742	13.3996	227.37389	184.31976	46.139534	46.5	103999	72.4457	35.716103	151.8626	-4.971462	72.44546	35.715855	154.53017	-5.7203937	-72.98237	3.7318425	1666.247715473175
27	203.09042	10.816096	233.02965	181.99777	200.36264	10.395087	216.3675	186.92104	46.022987	46.0	107999	72.5683	35.693172	159.83699	-2.5247908	72.568375	35.692513	159.26974	-5.0259533	-73.03952	3.5761049	1748.3311264514923
28	204.62973	9.344839	225.21663	186.80698	206.05554	11.342378	232.45143	192.50917	46.356323	47.1	111999	72.76928	35.825653	148.39616	-2.1708016	72.76917	35.825657	148.3213	-7.537075	-73.263985	3.5541492	1831.3945786952972
29	203.09772	10.334479	226.93832	182.49103	207.3809	10.126777	221.20247	186.01674	46.03448	47.2	115999	72.81869	35.916485	155.95811	-5.1505203	72.81878	35.916435	147.64053	-5.6664896	-73.18149	3.5291922	1915.3458609580994
30	204.55399	11.982914	227.23929	179.1078	202.663	8.637042	217.73468	186.97025	46.244186	46.3	119999	73.01835	35.931988	152.81378	-5.816927	73.01814	35.93156	152.1935	-4.4124446	-73.51682	3.516411	2000.66131067276
31	203.73181	11.558736	231.63818	178.25555	206.53667	9.361352	222.00952	195.64449	46.103447	47.2	123999	73.021034	36.027542	158.1778	-6.6671634	73.020935	36.02777	149.38486	-6.8676114	-73.50259	3.363877	2087.0941462516785
32	202.7124	9.813424	229.73305	180.29446	200.15556	8.310283	212.28178	187.85495	45.95402	45.9	127999	73.20532	36.103466	152.56325	-4.7240295	73.20518	36.103043	159.76329	-3.3112197	-73.55253	3.1722343	2176.846955060959
33	202.54958	9.780081	226.23317	181.53542	190.95822	8.68056	207.03386	179.99893	45.96552	44.1	131999	73.18527	36.131664	153.4494	-2.6472898	73.18511	36.13145	152.06326	-8.745707	-73.569885	3.1364532	2271.9161410331726
34	204.38719	11.450273	234.3122	179.76292	202.75505	10.661473	222.73921	185.26524	46.220932	46.5	135999	73.2461	36.253345	145.35933	-3.3295581	73.24581	36.253677	144.69858	-8.585517	-73.663765	3.11196	2371.5877413749695
35	204.3332	10.210324	229.45026	182.89806	204.96341	14.362476	230.78903	184.69759	46.333332	47.0	139999	73.43505	36.22615	145.54704	-11.064072	73.43494	36.22611	147.63159	-8.443519	-73.870735	2.990178	2475.3012838363647
36	204.26631	10.450562	224.02556	175.0591	198.16068	12.0299	220.23041	175.77321	46.197674	45.8	143999	73.5739	36.31471	157.34204	-2.3949342	73.57382	36.31438	156.51605	-6.038899	-73.99731	2.9645114	2582.716739177704
37	205.15373	12.121511	235.97896	175.3678	202.71309	9.986886	218.90524	188.17137	46.395348	46.7	147999	73.713684	36.48275	154.09148	-3.243171	73.71361	36.482754	157.76837	-2.643518	-74.12699	3.0506742	2692.4423995018005
