Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
27	36.583595	1.2620358	38.411407	35.09625	1000.0	1.7993968	3.5047197	24.506289	-0.28323984	112000	2.2649765e-08	0.40812308	-0.009603776	-0.14126584	0.6122005	0.0074440534	0.086	79.0	190.75366187095642
28	36.86005	1.7170506	39.46761	34.711792	1000.0	1.9469416	3.5962286	24.823877	-0.21478182	116000	9.536743e-09	0.38704413	-0.0061075166	-0.08893123	0.5906017	0.0024032332	0.0265	79.0	198.76398611068726
29	36.65904	0.90015274	37.549625	35.179623	1000.0	1.7117219	3.6843762	25.239101	-0.7149721	120000	-6.198883e-09	0.33032617	-0.008791968	-0.14008017	0.57132727	0.0075929104	0.06675	79.0	205.20872735977173
30	37.779366	0.6201769	38.404488	36.925476	1000.0	2.2367456	3.8204834	25.566938	-0.4153337	124000	8.34465e-09	0.21833093	-0.0070102564	-0.051688537	0.56270665	0.0016583678	0.0305	79.0	211.81231570243835
31	36.429512	1.4389515	37.909798	34.06021	1000.0	2.2296686	3.7544534	25.961176	-1.0374228	128000	-1.990795e-08	0.34240648	-0.009198701	-0.133424	0.56316066	0.0062610195	0.0385	79.0	218.71732378005981
32	38.310722	1.1569232	39.939568	36.681213	1000.0	1.7853225	3.6161287	25.984747	-0.34177697	132000	9.775162e-09	0.3964698	-0.011745117	-0.24458705	0.55169976	0.0052653938	0.06425	79.0	226.13974833488464
33	36.489944	1.4880555	38.963886	34.98486	1000.0	2.1564934	3.7110672	26.305098	-0.150532	136000	1.4305114e-08	0.17260826	-0.009951553	-0.05805526	0.52158546	0.006617978	0.05975	79.0	233.7973427772522
34	37.23152	1.6392041	38.848274	34.571453	1000.0	2.1843379	3.7889807	26.435436	-1.037404	140000	-4.4107438e-09	0.306614	-0.008736986	-0.08628817	0.5109826	0.00310362	0.043	79.0	241.01975440979004
35	37.073868	1.7871431	39.568733	34.714268	1000.0	1.8618153	3.835828	26.685822	-0.9876636	144000	1.4781952e-08	0.25400427	-0.010286681	-0.01739414	0.5000084	0.006528985	0.06175	79.0	247.70768356323242
36	37.870506	1.146589	39.521942	36.282043	1000.0	1.695894	3.8962526	26.916786	-0.88956	148000	-8.702278e-09	0.35778838	-0.010430805	-0.16706648	0.49730387	0.009181567	0.06275	79.0	254.63101506233215
37	37.504898	1.6060758	38.89206	34.78054	1000.0	2.521727	3.8568683	27.135128	-0.45914423	152000	9.775162e-09	0.38103375	-0.0077836323	-0.17308131	0.47501603	0.0029282374	0.033	79.0	261.9626123905182
38	37.693092	1.0783004	38.64745	35.912647	1000.0	2.0978196	3.8343928	27.216478	-0.0087118745	156000	2.861023e-09	0.18411578	-0.0070373416	-0.027298257	0.46536732	0.0029482108	0.02975	79.0	268.83137488365173
39	39.896416	0.60247236	40.50289	39.152676	1000.0	1.8203214	3.8674908	27.33074	-0.6371429	160000	2.9027461e-08	0.27993083	-0.010815159	-0.13127942	0.46896258	0.005455925	0.066	79.0	274.88068675994873
40	39.909187	1.8518751	41.667324	37.293934	1000.0	2.4756384	3.930372	27.685385	-0.45434397	164000	3.3378602e-09	0.24677306	-0.009416242	-0.060037524	0.45278096	0.0039043198	0.05175	79.0	282.11128759384155
41	38.155334	2.8670886	41.317352	34.04409	1000.0	2.8166194	3.7588449	27.759071	0.792872	168000	4.339218e-08	0.51950884	-0.0076791206	-0.16838631	0.4333501	0.00472113	0.0265	79.0	288.3709924221039
42	38.99831	1.5149043	41.55492	37.593613	1000.0	2.5613961	3.7867212	27.639368	0.47613633	172000	5.2452087e-09	0.37290302	-0.01012425	-0.11160791	0.4300331	0.0068800393	0.0605	79.0	296.08371210098267
43	41.02926	1.292662	42.772034	39.75267	1000.0	2.6901486	3.6008646	27.683174	0.6054246	176000	-1.5497207e-08	0.2452585	-0.008119011	-0.06966956	0.44432777	0.0062761097	0.04875	79.0	303.8654034137726
44	41.61074	2.2176147	44.24025	38.73107	1000.0	3.0978348	3.6827898	27.754824	1.3943961	180000	-8.34465e-09	0.33276603	-0.009152389	-0.0451352	0.43875763	0.003670379	0.03925	79.0	310.2814087867737
45	40.957226	0.44899002	41.496536	40.252735	1000.0	3.180896	3.7414331	27.841602	1.4405789	184000	-1.4781952e-08	0.33314753	-0.009050742	-0.028956205	0.4290056	0.008495866	0.07025	79.0	317.22982144355774
46	43.66333	3.4185462	47.123966	38.02104	1000.0	3.0708385	3.5990067	27.81971	1.5771556	188000	-8.106232e-09	0.6478795	-0.012709483	-0.19955978	0.41039303	0.006055397	0.08525	79.0	323.7323672771454
47	48.309788	1.5693076	50.501453	46.064594	1000.0	3.3359683	3.7022252	28.30132	0.78130174	192000	1.3113022e-09	0.8589591	-0.010458085	-0.40346694	0.4035303	0.0059679784	0.0725	79.0	330.84382820129395
48	46.16895	2.6472557	50.012062	43.23771	1000.0	4.2392774	3.646147	28.878548	1.7421812	196000	-1.0967255e-08	0.73163146	-0.0097684795	-0.41112408	0.40223312	0.0037689887	0.054	79.0	338.5829932689667
49	47.285633	2.565815	51.59092	44.812244	1000.0	3.7058709	3.709838	29.17388	1.6277442	200000	7.510185e-09	0.67835367	-0.008835072	-0.18509191	0.3992803	0.007870488	0.05075	79.0	345.40555334091187
50	45.22228	2.2158053	47.75429	41.787155	1000.0	4.068062	3.607425	29.231133	2.1324253	204000	1.2397766e-08	0.6345398	-0.008496773	-0.14838976	0.40060306	0.003389127	0.0425	79.0	353.21442008018494
51	47.0091	2.6216846	51.312843	44.223	1000.0	4.102592	3.360662	28.973398	2.422883	208000	9.536744e-10	0.4609061	-0.013165273	-0.10745451	0.40101042	0.010305484	0.08225	79.0	360.1012713909149
52	48.569633	1.1351738	50.4926	47.544674	1000.0	4.344218	3.4867835	29.114988	1.8041239	212000	-2.2649764e-09	0.56670153	-0.011453398	-0.18732387	0.38554883	0.008014996	0.06625	79.0	367.44803190231323
53	52.77646	2.3250623	55.697796	50.06993	1000.0	4.643879	3.495061	29.206383	2.4065495	216000	-2.3841858e-08	1.3160568	-0.0113579165	-0.8258789	0.35867468	0.005578161	0.074	79.0	374.2768304347992
54	54.523537	2.0223625	56.045517	51.1125	1000.0	5.5823545	3.20488	29.184052	3.6164877	220000	1.835823e-08	0.86315286	-0.0092032775	-0.27596104	0.34151474	0.0018290278	0.04825	79.0	381.3870391845703
55	54.373154	0.769677	55.52294	53.476044	1000.0	5.9816585	3.1386478	29.404566	4.3601537	224000	-8.8214875e-09	0.4438306	-0.011372855	-0.10932496	0.3373681	0.0051187687	0.076	79.0	389.0052719116211
56	55.744316	2.965441	59.062458	50.972458	1000.0	5.9071503	3.2406547	29.717201	4.2886577	228000	-3.5762786e-09	0.6234366	-0.010809826	-0.07591885	0.32299507	0.011608692	0.082	79.0	396.01001358032227
57	61.779655	2.3331497	64.47346	58.367176	1000.0	6.1748495	3.1282718	29.866844	4.0259666	232000	-2.4437904e-08	1.6498373	-0.00301846	-1.0520058	0.29904896	0.016618643	0.164	3.0	401.78813552856445
58	59.97747	5.1236005	65.08961	53.63645	1000.0	7.095367	3.1777606	30.37107	4.5673175	236000	-3.5762787e-10	1.1631594	-0.011397998	-0.28794938	0.29864398	0.0054161763	0.0715	79.0	408.3311231136322
59	64.05667	2.7108662	67.77552	60.43745	1000.0	7.1285834	2.977646	30.321814	5.1885977	240000	-3.862381e-08	1.2032818	-0.009342747	-0.6671853	0.28161192	0.00552357	0.062	79.0	415.3652572631836
60	58.46292	3.8358915	61.244946	51.93932	1000.0	7.8560686	2.9968505	30.637167	5.6765532	244000	3.5762786e-09	1.7176015	-0.01136999	-0.8993591	0.27371863	0.009253107	0.0705	79.0	422.82413363456726
61	63.718925	2.8872914	68.53302	60.845207	1000.0	7.2185683	3.0066566	30.52658	5.5236044	248000	5.3405763e-08	1.7776103	-0.010423795	-1.07482	0.26374164	0.0052713	0.0595	79.0	430.2463049888611
62	67.32364	4.9133267	73.52395	59.9867	1000.0	8.216812	2.9242127	30.528944	6.0256863	252000	9.536743e-09	1.0289475	-0.01167093	-0.18894798	0.25317174	0.0073684393	0.07275	79.0	437.64996218681335
63	72.886665	2.0456336	74.89618	70.17814	1000.0	8.702143	2.987885	30.936426	6.3104186	256000	-2.0742416e-08	1.6922406	-0.012913798	-0.910657	0.22973669	0.008628908	0.07975	79.0	445.2881715297699
64	72.79375	1.540272	75.070465	70.93829	1000.0	9.755998	3.0353107	31.341805	7.197015	260000	1.3232231e-08	0.8297318	-0.010196002	-0.41856202	0.21685143	0.0039244886	0.06775	79.0	452.75240659713745
65	79.4589	2.959079	83.75402	75.47753	1000.0	10.225847	2.9125018	31.43287	8.554066	264000	4.9710273e-08	1.4081235	-0.010893309	-0.99707603	0.19271827	0.0030798619	0.064	79.0	460.0314931869507
66	79.881165	4.2664576	84.7792	73.2233	1000.0	11.211998	2.9193354	31.871002	9.229824	268000	1.6212464e-08	0.78971475	-0.011825214	-0.1784299	0.17391384	0.002317684	0.04525	79.0	466.92782711982727
67	80.35047	3.1586828	85.77087	78.075294	1000.0	11.427921	2.840842	32.357784	9.685806	272000	1.66893e-08	0.7317155	-0.009083912	-0.22887671	0.16498713	0.0068286937	0.0535	79.0	474.06244111061096
68	82.31109	1.2784905	83.898026	80.75335	1000.0	11.841869	2.7398036	32.423225	9.642935	276000	7.987023e-09	0.59978044	-0.009292025	-0.14282039	0.16376194	0.003971181	0.05325	79.0	481.2474961280823
69	79.42736	2.6622288	82.69173	75.90216	1000.0	12.113288	2.7106802	32.577347	9.736422	280000	-7.152557e-09	0.45492467	-0.01341734	-0.053516954	0.14846371	0.007247114	0.079	79.0	488.4006073474884
70	84.70377	5.978517	93.78269	76.985535	1000.0	12.329415	2.7536917	32.462536	10.379906	284000	2.384186e-10	0.6119054	-0.014860517	-0.16676795	0.13165519	0.007301125	0.08725	79.0	497.13580346107483
71	86.19796	2.368262	89.63191	83.21646	1000.0	12.682656	2.7557888	32.967316	10.910948	288000	-2.3841858e-08	0.52944976	-0.009979497	-0.111741394	0.105224	0.0049604555	0.07175	79.0	504.3942310810089
72	86.9515	2.862419	91.39634	83.743095	1000.0	13.036814	2.80045	33.13098	11.308298	292000	1.4305114e-08	0.3895782	-0.013821427	-0.07132107	0.09206606	0.0038985847	0.08075	79.0	511.67988324165344
73	86.775856	3.976606	93.14486	82.78648	1000.0	13.226836	2.7371063	33.39006	11.516005	296000	-2.7298928e-08	0.35890523	-0.0146588	-0.0365597	0.066155195	0.008052331	0.103	79.0	518.4272856712341
74	89.50048	1.9583437	92.27856	86.773285	1000.0	13.370947	2.7737534	33.37664	11.397619	300000	2.7537347e-08	0.54305506	-0.010113774	-0.27026132	0.03972283	0.006766724	0.06725	79.0	525.4406752586365
75	93.131035	1.9830773	95.55004	90.36129	1000.0	13.863033	2.740743	33.711193	11.89194	304000	-3.0755995e-08	0.6633289	-0.013528313	-0.3974008	0.0256243	0.0083506415	0.089	79.0	532.0792949199677
76	97.5744	2.5581563	99.82976	93.30864	1000.0	14.543487	2.7438319	34.047523	12.0951805	308000	-1.7166137e-08	0.60718846	-0.014914809	-0.35885268	0.0051459274	0.0046067643	0.10125	79.0	538.4694588184357
77	95.40327	2.9786603	100.29154	92.355354	1000.0	15.121542	2.7650495	34.48328	12.563986	312000	9.536744e-10	0.28945738	-0.012737433	-0.123115614	-0.031497885	0.009168728	0.069	79.0	544.779866695404
78	98.32649	2.3485599	101.82961	95.839066	1000.0	15.513773	2.611259	34.55264	13.03973	316000	9.536744e-10	0.25221965	-0.011716736	-0.08903752	-0.03970719	0.006245759	0.077	79.0	552.5911955833435
79	98.27208	4.0301213	104.65761	94.16107	1000.0	15.663753	2.6872106	34.777363	12.628895	320000	6.079674e-08	0.32301643	-0.012380679	-0.13271739	-0.062680155	0.011452516	0.08375	79.0	559.6899116039276
80	100.03911	3.0908105	103.21187	95.95893	1000.0	16.077986	2.6976964	34.99339	13.036553	324000	8.5830685e-09	0.33382642	-0.012756977	-0.15815164	-0.082737826	0.008081635	0.077	79.0	567.5659966468811
81	100.973145	1.5097373	103.281265	99.47391	1000.0	16.289888	2.6590583	34.929375	12.878114	328000	2.5987624e-08	0.2707549	-0.015618392	-0.06521675	-0.11119298	0.0075584357	0.08275	79.0	575.2491290569305
82	104.91374	2.4587035	107.95611	101.54927	1000.0	16.527266	2.7875326	35.035492	12.689506	332000	3.0994416e-09	0.79623646	-0.014672129	-0.55383515	-0.13097951	0.0048748218	0.07025	79.0	582.9280207157135
83	105.67051	1.3062726	107.771065	104.265976	1000.0	17.301105	2.6716797	35.08965	13.605494	336000	-2.0503998e-08	0.18657158	-0.011504197	-0.028956503	-0.14956789	0.0075669396	0.07375	79.0	589.3899598121643
